_c0,Crisis_Yes_No,Category,Summary,Why_A_Crisis,Locations,Number of People Affected
27837,No,,,,,
3850,No,,,,,
26844,Yes,Conflict,"US President Joe Biden and Russian President Vladimir Putin have been sparring verbally, presenting starkly different views of the world and the Ukraine war. Putin suspended the last major nuclear arms control treaty with the United States and Biden proclaimed untiring support for Ukraine, which was invaded by Russian forces nearly a year ago.",The invasion of Ukraine has caused a humanitarian crisis due to the displacement of people and the destruction of infrastructure.,Ukraine,
26159,No,,,,,
11836,No,,,,,
2394,No,,,,,
24123,No,,,,,
30150,No,,,,,
22081,Yes,Human Trafficking,"A 16-year-old boy, Fahim, was found in a shipping container in Port Klang, Malaysia and was repatriated back to Bangladesh. Investigations showed no elements of human trafficking in Fahim's case. He was unintentionally locked up in the container while playing with friends.",The teen was in a weak condition and without valid travel documents. He was cared for by a non-governmental organisation until the repatriation process.,"Malaysia, Bangladesh",1
9882,No,,,,,
29042,No,,,,,
31309,No,,,,,
4706,No,,,,,
24777,No,,,,,
24014,No,,,,,
21700,No,,,,,
31315,Yes,COVID-19,The article discusses the impact of the coronavirus pandemic and encourages readers to subscribe to a local journalism outlet to stay informed on the developing story.,"The coronavirus pandemic has caused a global health crisis, leading to a significant number of deaths and economic disruption.",Global,Millions
8822,No,,,,,
28032,Yes,Housing Crisis,"David Doris, a double-leg Scots amputee, has been forced to live in his bedroom after his council home flooded two months ago and has yet to be fixed. Despite being told he could move back in on January 19, David discovered his flat remained in a state of disrepair with the walls still being ‘wet’.","The flooding has caused a housing crisis for David Doris, leaving him without a safe and habitable home.","Plains flat, near Airdrie",1
29306,No,,,,,
4784,No,,,,,
7760,No,,,,,
12113,No,,,,,
31432,No,,,,,
12270,No,,,,,
20722,No,,,,,
26818,No,,,,,
26497,No,,,,,
3067,No,,,,,
18850,No,,,,,
12485,No,,,,,
2705,No,,,,,
7074,No,,,,,
3495,No,,,,,
15296,Yes,Winter Storm,"The National Weather Service is warning residents of a major winter storm that will affect Cache Valley and surrounding areas with heavy snow likely Tuesday afternoon until Wednesday morning. The potential for snow squeals exist for areas east of the Wasatch Mountains until late Tuesday night. Cache Valley and the Bear River Valley could see from 6” to 12″ or as much as 15”. Most of the continental United States will experience some kind of change in the weather. Snow will begin to mix in with the rain as temperatures cool Tuesday night through Wednesday with addition to the snow, a deepening","The heavy snowfall and cold temperatures could lead to dangerous driving conditions, power outages, and other hazardous conditions that could put people in danger and cause disruption to daily life.","Cache, Box Elder and Rich counties as well as Southeast Idaho",
26856,Yes,Statelessness,"Shamima Begum, a 15 year old British citizen, travelled to Syria to join the so-called Islamic State in 2015. Her British citizenship was revoked by the Home Office shortly after she was found in a Syrian refugee camp in 2019. She has been challenging the Home Office in court and her lawyers argued that the Home Office had a duty to investigate whether she was a victim of trafficking before stripping her of her British citizenship. The tribunal heard that she was “recruited, transported, transferred, harboured and received in Syria for the purposes of ‘sexual exploitation’ and ‘marriage’ to an adult male”.","The decision to remove her British citizenship made Ms Begum “de facto stateless”, where she had no practical right to citizenship in Bangladesh, with Bangladeshi authorities stating that she is not a citizen of Bangladesh.","Syria, Bangladesh",1
15755,No,,,,,
17720,No,,,,,
17698,No,,,,,
17530,No,,,,,
23787,No,,,,,
708,Yes,Worker Exploitation,"Rodrigo Queiroz and several other employees of Keystone’s parent company, Vail Resorts, have faced challenges securing scheduled work hours and housing after traveling to work in the United States on a temporary student visa. This has led to financial burdens as they contend with a high cost of living in Summit County.",The workers are being exploited and are unable to make enough money to cover their living expenses.,"Summit County, Colorado",Several
4580,No,,,,,
22760,No,,,,,
23180,No,,,,,
23934,No,,,,,
2765,No,,,,,
28505,No,,,,,
21480,No,,,,,
16785,Yes,Migration Crisis,"The Biden administration is proposing a rule that would make it harder for migrants to get asylum if they cross the border into the U.S. illegally after passing through Mexico or any other country without seeking protection. The rule would be a departure from current policy, which says migrants simply have to be on U.S. soil to seek asylum. The Biden administration is proposing the rule to deter migrants from crossing the border illegally and encourage them to use legal pathways.","The proposed rule would make it harder for migrants to get asylum, which could lead to a humanitarian crisis as people are denied access to safety and protection.",U.S.-Mexico border,
28203,Yes,Job Loss,"British Steel is considering closing coke ovens at its site in Scunthorpe, which would be devastating news for the people of Scunthorpe and all British Steel workers across the UK.",The closure of the coke ovens would result in job loss and economic hardship for the people of Scunthorpe and all British Steel workers across the UK.,Scunthorpe,All British Steel workers across the UK
30228,Yes,Gas Explosions,"At least 82 people have died in gas explosion-related fires in Narayanganj over the last three years. There have been 104 gas explosion-related fire incidents in 2022, 114 in 2021, and 106 in 2020. 69 of the incidents in 2022 were caused by flaws in the gas pipeline, 34 incidents were reportedly caused by cylinder and air conditioner blasts. 20 people were killed and more than 50 were injured in 2021, and 44 people died and 26 were injured in 2020.",The number of people affected and killed by these gas explosions is a humanitarian crisis as it is causing a large number of deaths and injuries.,Narayanganj,At least 82 people have died and over 100 have been injured.
5072,No,,,,,
17836,No,,,,,
20207,No,,,,,
18709,No,,,,,
17058,Yes,Environmental,"The US Environmental Protection Agency is ordering Norfolk Southern to handle and pay for all necessary cleanup after its train carrying toxic chemicals derailed in East Palestine, Ohio, more than two weeks ago. The EPA announced its legally binding order Tuesday, which includes identifying and cleaning up any contaminated soil and water resources, reimbursing the EPA for cleaning services to be offered to residents and businesses, attending and participating in public meetings, and paying for the EPA's costs for work performed.","The disaster ignited a dayslong fire, shot plumes of black smoke into the air and led to an intentional release of vinyl chloride to help avert a more catastrophic blast.","East Palestine, Ohio",
14233,No,,,,,
5722,No,,,,,
2553,No,,,,,
15186,No,,,,,
2395,Yes,Environmental Disaster,"A train carrying toxic chemicals derailed near the Ohio-Pennsylvania border, prompting local leaders to call for Norfolk Southern to take more responsibility and pay for the costs of cleanup. The EPA has ordered Norfolk Southern to clean up and remediate the site, and if the work is not done to EPA specifications, the agency will step in and perform the work itself.",The derailment has caused environmental contamination and potential health risks to the local population.,"Ohio, Pennsylvania",
6697,No,,,,,
16405,No,,,,,
722,No,,,,,
6186,No,,,,,
6113,No,,,,,
1633,No,,,,,
15893,No,,,,,
24885,No,,,,,
4208,Yes,Migrant Crisis,"The Biden administration released a new rule that largely bars migrants who traveled through other countries on their way to the US-Mexico border from applying for asylum in the United States. The rule would generally apply to migrants who unlawfully cross the US-Mexico border, with some exceptions.","The rule could affect tens of thousands of people and is a departure from decadeslong protocol, creating a humanitarian crisis.",US-Mexico Border,Tens of Thousands
10378,No,,,,,
3220,Yes,Trans Rights,"The Mississippi Senate passed a bill that would ban gender-affirming care in the state for anyone younger than 18. The bill will go to Mississippi Gov. Tate Reeves, who is expected to sign it into law. The bill has been met with protests from transgender teenagers, their families and others who support them.",The bill is a violation of the rights of transgender people and ignores the recommendations of major medical associations.,"Mississippi, Utah, Arkansas, Alabama",Unknown
19715,Yes,Winter Storm,"A massive winter storm is bringing a mix of heavy snow, rain and gusty winds to the US West and North, putting over 60 million people across 28 states under winter weather alerts. High winds have caused tens of thousands of power outages in California, and snowfall totals of up to 6 inches are possible in Northern California. Wind gusts of 50-80 mph are expected to impact a large swath of the West.","The winter storm is causing power outages, extreme weather conditions, and hazardous travel conditions, which can lead to health and safety risks for those affected.","West Coast, Midwest, New England Coast, Minnesota, Northern California, Central Florida",60 million
21731,No,,,,,
18874,No,,,,,
6247,No,,,,,
25738,No,,,,,
31868,Yes,Climate Change,A dozen minors filed a lawsuit with Austria’s top court to force the government to take tougher action against climate change. The lawsuit is backed by the youth climate group Fridays for Future and financially supported through philanthropic donations.,The children’s right to “generational justice” — guaranteed in the Austrian constitution — is breached by the Alpine nation’s climate law.,Austria,12 minors
11665,No,,,,,
17437,No,,,,,
16358,No,,,,,
17363,No,,,,,
26173,No,,,,,
23695,No,,,,,
23037,No,,,,,
22956,No,,,,,
15751,No,,,,,
6306,No,,,,,
20304,No,,,,,
20653,No,,,,,
16325,No,,,,,
31421,No,,,,,
29934,No,,,,,
5366,No,,,,,
22055,No,,,,,
11565,No,,,,,
282,No,,,,,
29420,No,,,,,
27651,No,,,,,
10581,No,,,,,
23089,No,,,,,
13933,No,,,,,
1567,No,,,,,
13665,No,,,,,
31447,No,,,,,
21516,No,,,,,
31234,No,,,,,
14327,Yes,Economic Crisis,"Sub-Saharan Africa is facing a gloomy economic outlook for 2023, with the World Bank estimating a growth rate of 3.6 percent and a per capita income rise of 1.2 percent. This is due to the disruption of global supply chains following the Russia-Ukraine conflict, high food and energy prices, high interest rates, low investment appetite, and rising geopolitical tensions.",The slow economic growth is causing poverty and is not enough to alleviate poverty in the region.,Sub-Saharan Africa,
11877,No,,,,,
1644,Yes,Migrant Crisis,"The Biden administration said Tuesday that it will generally deny asylum to migrants who show up at the U.S. southern border without first seeking protection in a country they passed through, mirroring an attempt by the Trump administration that never took effect because it was blocked in court.","The measure imposes severe limitations on asylum for any nationality except Mexicans, which could lead to a surge in illegal crossings and leave many migrants without protection.",U.S. Southern Border,
1093,Yes,Reproductive Rights,"A Texas federal judge refused to set an accelerated trial schedule for a lawsuit by anti-abortion groups seeking to end U.S. sales of the abortion pill mifepristone, which could severely disrupt access to medication abortion nationwide.","This could severely disrupt access to medication abortion nationwide, which accounts for more than half of U.S. abortions.",Texas,Nationwide
30126,No,,,,,
11382,No,,,,,
19511,No,,,,,
9775,No,,,,,
9421,No,,,,,
24175,No,,,,,
27457,No,,,,,
14753,Yes,Foreign Interference,Leaked CSIS documents revealed that the Chinese Communist Party actively interfered in the 2021 Federal Election in Canada to tip the scales in favour of another Trudeau minority government and the defeat of certain Conservative Party MPs who were seen as critical of the Chinese regime.,The interference of a foreign entity in a democratic election is a crisis as it undermines the legitimacy of the election and erodes trust in democratic institutions.,Canada,All Canadians
21885,No,,,,,
25767,No,,,,,
28942,No,,,,,
5216,No,,,,,
14477,No,,,,,
29901,No,,,,,
638,No,,,,,
29099,No,,,,,
24592,No,,,,,
10934,No,,,,,
4013,No,,,,,
4553,No,,,,,
15957,No,,,,,
15353,No,,,,,
29969,No,,,,,
31479,No,,,,,
27265,No,,,,,
9807,No,,,,,
31527,No,,,,,
1384,No,,,,,
12168,No,,,,,
9529,No,,,,,
20362,No,,,,,
1586,No,,,,,
17137,Yes,Drug Abuse,"A new study reports that deaths from methamphetamine among Americans increased 50-fold between 1999 and 2021, with most of these deaths also involving heroin or fentanyl.","The increase in deaths is largely driven by the co-involvement of street opioids and the toxicity of the unregulated street drug supply, predominantly of fentanyl and other synthetic opioids. The signs of meth overdose are variable in terms of presentation and severity, which may contribute to the likelihood of a fatal overdose.",United States,50-fold increase
7467,No,,,,,
30935,No,,,,,
1862,No,,,,,
15869,No,,,,,
24532,No,,,,,
23419,No,,,,,
23035,No,,,,,
21546,No,,,,,
21257,No,,,,,
7553,Yes,Natural Disaster,"Cyclone Freddy tracked across Madagascar, killing four people and affecting 16,600 people with more than 6,750 homes damaged. The storm brought less rain than feared but still ripped roofs off buildings and flattened rice fields and fruit trees.","The storm caused significant damage to infrastructure and homes, leaving many people without shelter and resources.","Madagascar, Mozambique","16,600"
14562,Yes,Industrial Accident,"An explosion and large fire at a metal plant outside of Cleveland, Ohio resulted in the death of one maintenance worker and 13 sent to hospitals with injuries. Emergency crews responded to the scene and the cause of the explosion is still unclear.",The explosion resulted in the death of one worker and 13 sent to hospitals with injuries.,"Cleveland, Ohio, Bedford, Ohio",14
12449,No,,,,,
6454,Yes,War,"Steve Deace, a Conservative Christian host, discussed the war in Ukraine on Tim Pool's show Timcast IRL. President Zelenskyy warned that if China allies with Russia, the U.S. would be on the brink of WWIII. The war has killed tens of thousands and maimed hundreds of thousands more.",The war has caused death and injury to many people.,"Ukraine, East Palestine, Ohio","Tens of thousands killed, hundreds of thousands maimed."
12247,No,,,,,
14522,No,,,,,
23170,No,,,,,
2407,No,,,,,
10804,No,,,,,
30892,No,,,,,
8287,No,,,,,
513,No,,,,,
15852,No,,,,,
8159,No,,,,,
14132,No,,,,,
5517,No,,,,,
25000,No,,,,,
23410,No,,,,,
19493,Yes,Murder,"Nicholas Poitra is accused of shooting and killing 30-year-old Troyal Thumb inside Rindy's Sheyenne Bar off Highway 281 Sunday night. Poitra is facing 11 charges including murder, robbery and seven counts of terrorizing. He had held seven other people inside the bar — including a child — at gunpoint and demanded cell phones and a set of car keys.","The murder of a person and the terrorizing of seven other people, including a child, is a humanitarian crisis.","Sheyenne, N.D.",8
15916,No,,,,,
8105,No,,,,,
16390,No,,,,,
23965,No,,,,,
4443,No,,,,,
30329,No,,,,,
22482,No,,,,,
14070,No,,,,,
11968,No,,,,,
5513,No,,,,,
12431,No,,,,,
28979,No,,,,,
508,No,,,,,
8926,No,,,,,
6929,No,,,,,
10687,No,,,,,
16235,No,,,,,
596,No,,,,,
7230,No,,,,,
18022,No,,,,,
22003,No,,,,,
1046,Yes,Water Crisis,"Jacob's Well, a popular swimming spot in Texas, has been closed due to drought in the area. The flow from the spring is not suitable for swimming and there is no timetable on when it will be allowed. The area is still open for hiking and viewing the spring.","The lack of water has been an issue for some time now, and the closure of the popular swimming spot has caused disruption to the local community.",Texas,
14433,No,,,,,
18815,No,,,,,
6967,No,,,,,
27059,No,,,,,
12021,Yes,Natural Disaster,"Greece has increased border security due to the recent earthquakes in Turkiye and Syria on Feb. 6, which has caused 50,000 deaths and left hundreds of thousands homeless. Greece is building a 22-mile barrier wall and fence system in Evros to protect Europe from illegal flows.",The earthquakes have caused a large number of deaths and left many homeless and in need of aid.,"Turkiye, Syria, Greece, Evros",Hundreds of thousands
4946,No,,,,,
29426,No,,,,,
10122,No,,,,,
17679,Yes,Job Loss,"Unions fear British Steel is set to announce the closure of coking ovens at one of its plants, with the loss of hundreds of jobs as the company warns it faces “significant challenges”. An announcement could be made on Wednesday, unions believe.","The closure of the coking ovens will result in hundreds of job losses, which will have a devastating effect on the people of Scunthorpe and all British Steel workers across the UK.","Scunthorpe, UK",Hundreds
2730,No,,,,,
3748,No,,,,,
16528,No,,,,,
12240,No,,,,,
8208,No,,,,,
11788,No,,,,,
26389,No,,,,,
14624,Yes,Domestic Violence,Montana authorities responded to a suicidal man holding his wife hostage at the Clinton Market. Deputies were forced to use lethal force and the suspect was the only person killed.,The incident involved domestic violence and the use of lethal force.,Montana,2
30450,No,,,,,
30094,No,,,,,
14066,No,,,,,
12935,No,,,,,
11609,No,,,,,
19383,No,,,,,
7279,No,,,,,
8876,No,,,,,
18936,Yes,Forced Assimilation,"The Tseshaht First Nation announced the detection of 17 suspected unmarked graves at the site of a former residential school. Interviews with survivors, historical records and other documents show 67 students died at the school.",The students were forcibly removed from their homes and subjected to cultural assimilation.,Vancouver Island,67
25718,No,,,,,
25370,No,,,,,
25916,No,,,,,
24090,No,,,,,
16082,No,,,,,
29427,No,,,,,
11349,No,,,,,
8890,No,,,,,
24250,No,,,,,
25573,Yes,Urban Planning,"The 15-minute City is an urban planning idea that suggests all services needed for a meaningful life should be no further than 15 minutes away by foot, bike or public transport. A pro-traffic rally in Oxford city centre has been held in opposition to this idea, with far-right conspiracy slogans, antisemitism and hip-hop.","The rally has caused a humanitarian crisis due to the presence of far-right conspiracy slogans, antisemitism and hip-hop.",Oxford,
3641,No,,,,,
7771,No,,,,,
3186,No,,,,,
15141,No,,,,,
25306,No,,,,,
13862,No,,,,,
26717,No,,,,,
26771,Yes,Job Loss,"British Steel is considering closing coke ovens at its site in Scunthorpe, which would be devastating news for the people of Scunthorpe and all British Steel workers across the UK.",The closure of the coke ovens would result in job loss and economic hardship for the people of Scunthorpe and all British Steel workers across the UK.,Scunthorpe,All British Steel workers across the UK
19791,No,,,,,
16617,No,,,,,
21932,No,,,,,
14851,No,,,,,
3985,No,,,,,
24094,No,,,,,
14931,Yes,Environmental Disaster,"Residents of East Palestine, Ohio have been evacuated and are experiencing itchy eyes, skin, and respiratory problems due to a train derailment that released hazardous materials into the air.","The hazardous materials released into the air have caused health issues for the residents of East Palestine, Ohio.","East Palestine, Ohio",Unknown
21295,No,,,,,
14411,No,,,,,
27373,No,,,,,
3590,No,,,,,
11840,Yes,Funding Cuts,"The Oldham Coliseum, built in 1885, is facing closure at the end of March due to funding cuts from Arts Council England. Actress Maxine Peake spoke at a public meeting about the importance of the theatre to the community and how it gives people inspiration.","The closure of the theatre will have a negative impact on the community, depriving them of a source of inspiration and storytelling.","Oldham, UK",Unknown
11319,No,,,,,
25796,No,,,,,
6489,Yes,Migration Crisis,U.S. Customs and Border Patrol officers are investigating an incident in Orange County in which a boat carrying 11 people washed ashore. No injuries were reported and it is unclear whether anyone was detained at the scene.,"The incident is part of a larger pattern of migration to the U.S. from Mexico, which has caused a humanitarian crisis due to the dangerous conditions of the journey and the lack of resources to support the migrants.","Orange County, Huntington Beach, Laguna Beach, Newport Beach",11
29829,Yes,Nuclear War,"The Doomsday Clock is set at 90 seconds to midnight, the closest to Doomsday we have ever been. Dr. Helen Caldicott believes it should be set at 20 seconds to midnight. The Ukraine War has changed things drastically and Putin is refusing to let the US inspect his nuclear stockpiles. Poland, a NATO member, is considering sending warplanes to Ukraine, which runs the risk of a direct confrontation between Russia and NATO.",The risk of a nuclear war between Russia and NATO is a humanitarian crisis as it could cause mass destruction and loss of life.,"Ukraine, Russia, Poland",Millions
20585,No,,,,,
29517,Yes,Natural Disaster,"Police Commissioner Andrew Coster visited the region affected by Cyclone Gabrielle and met with local staff, visited the Civil Defence coordination centre, and toured flood-ravaged Te Karaka. He was impressed by the resilience of the people and the relationships established in previous events. There was one incident of burglary, but no looting.","The region has been affected by a natural disaster, causing flooding and damage to the area.","Gisborne, Te Karaka",
28295,No,,,,,
9406,No,,,,,
10016,Yes,Financial Insecurity,"The West Virginia Department of Health and Human Resources announced a delay in payment to foster and kin care recipients, leaving many families wondering how to pay for basic necessities. Payments have been released to some groups, while others are still on hold until issues are resolved.","The delay in payments has caused financial insecurity for many families, leaving them unable to pay for basic necessities.",West Virginia,
13690,No,,,,,
318,No,,,,,
30797,No,,,,,
17351,Yes,Environmental Disaster,"Two weeks after a train carrying toxic chemicals derailed near the Ohio-Pennsylvania border, local leaders have called for Norfolk Southern to take more responsibility and pay for the costs of cleanup. The EPA has ordered Norfolk Southern to clean up and remediate the site, and if the work is not done to EPA specifications, the agency will step in and perform the work itself.",The derailment has caused environmental contamination and potential health risks to the local population.,"Ohio, Pennsylvania",
26786,No,,,,,
22824,No,,,,,
7915,No,,,,,
11993,No,,,,,
5260,No,,,,,
11667,No,,,,,
14971,No,,,,,
24533,No,,,,,
27024,No,,,,,
23002,No,,,,,
13776,No,,,,,
6316,No,,,,,
27382,No,,,,,
16111,No,,,,,
18397,Yes,Racial Discrimination,"Lucious Abrams is the third generation to take over the family Georgia farm, an operation that has long grown cotton, corn, and soybeans. When he did not receive a loan in time to buy the seeds and supplies he needed, he joined the Pigford v. Glickman class action lawsuit against the USDA. The 1999 lawsuit alleged that in myriad ways the agency discriminated against Black farmers resulting in uneven distribution of farm loans and assistance. This caused many Black farmers to lose their land and farms to foreclosure. In 2010, Congress appropriated an additional $1.2 billion in a second round of payouts, but many still did not receive them due to more denials of claims and deadline and processing issues. An NPR analysis of USDA data found that Black farmers receive a disproportionately low share of direct loans given to farmers.","The USDA has been discriminating against Black farmers, resulting in them losing their land and farms to foreclosure and not receiving the loans they need to sustain their livelihoods.",Georgia,Tens of thousands
3303,No,,,,,
14347,No,,,,,
18453,No,,,,,
16515,No,,,,,
22059,No,,,,,
29006,No,,,,,
22039,No,,,,,
20556,No,,,,,
22170,No,,,,,
19959,No,,,,,
4183,No,,,,,
6025,No,,,,,
15354,No,,,,,
2948,No,,,,,
10368,No,,,,,
27531,No,,,,,
31669,No,,,,,
25322,Yes,Energy Crisis,"Australia is facing electricity supply shortages as coal-fired plants are phased out, according to the Australian Energy Market Operator (AEMO). Without significant increase in energy projects, AEMO warned the entire east coast could fall short of reliability standards within five years, leaving more than half the Australian population facing blackouts.",The lack of electricity supply could lead to blackouts and other issues for more than half the population of Australia.,Australia,More than half the population of Australia
12885,Yes,Education,"Vermont State University administrators announced plans to transition to “all-digital” libraries and downgrade athletics programs on two campuses, sparking outrage from students, staff, faculty and alumni. They argued that the cuts would hit marginalized students the hardest and some were considering transferring to other schools.","The cuts to libraries and athletics would hit marginalized students — low-income people, people of color, people with disabilities — the hardest.",Vermont,Unknown
31282,No,,,,,
16579,No,,,,,
2793,Yes,Food Insecurity,"In the wake of the COVID-19 pandemic, food insecurity has become a major issue in many countries. In India, the lockdown has caused a massive disruption in the food supply chain, leading to a shortage of food and rising prices. This has caused a severe strain on the country's poor and vulnerable populations, who are unable to access food and other essential items.","The lack of access to food and other essential items has caused a humanitarian crisis in India, as the poor and vulnerable populations are unable to meet their basic needs.",India,Millions
28949,Yes,Fire Disaster,"A fire in a 16-storey building in Moscow has resulted in seven deaths and 11 people injured, two of them being children with signs of carbon monoxide poisoning. Nine victims were taken to city hospitals, two received outpatient care.","The fire has caused multiple deaths and injuries, and has affected a large number of people.",Moscow,11
28501,Yes,Statelessness,"Shamima Begum, a 15 year old British citizen, travelled to Syria to join the so-called Islamic State in 2015. Her British citizenship was revoked by the Home Office shortly after she was found in a Syrian refugee camp in 2019. She has been challenging the Home Office in court and her lawyers argued that the Home Office had a duty to investigate whether she was a victim of trafficking before stripping her of her British citizenship. The tribunal heard that she was “recruited, transported, transferred, harboured and received in Syria for the purposes of ‘sexual exploitation’ and ‘marriage’ to an adult male”.","The decision to remove her British citizenship made Ms Begum “de facto stateless”, where she had no practical right to citizenship in Bangladesh, with Bangladeshi authorities stating that she is not a citizen of Bangladesh.","Syria, Bangladesh",1
13382,No,,,,,
6784,Yes,Food Insecurity,"The Food Bank of Wyoming reports that inflation rate is 3-4X higher than it was a few years ago, resulting in Wyomingites having to make tough choices between heating their homes or feeding their families. The Food Bank of Wyoming partners with local organizations to help ensure plates can be filled by sourcing and distributing food and other necessities to more than 150 Hunger Relief Partners across the state.","The high cost of living is causing people to have to choose between heating their homes or eating, leading to food insecurity.",Wyoming,150
22882,No,,,,,
5162,No,,,,,
25740,Yes,Forced Conscription,"At least 300,000 reservists were called up by the Russian military last year, sparking a frantic exodus of military-aged men from the country. Some, who didn't want to leave the country or didn't have the means, claimed exemptions on medical or professional grounds. Others just ignored the orders and have relied on luck, cunning or bureaucratic loopholes to avoid punishment.",The call up of reservists has caused a humanitarian crisis as people are being forced to fight in a conflict they do not support and are being punished for not doing so.,"Russia, Ukraine","300,000"
12788,No,,,,,
22886,No,,,,,
21630,No,,,,,
29010,No,,,,,
13123,Yes,Gang Violence,"Two men, Angel Joseph Uriarte and Noah David Beard, are accused of fatally shooting six people, including a 72-year-old grandmother and a 10-month-old baby, during a pre-dawn home invasion in the agricultural community of Goshen, California. The motive appears to be gang-related, with the two defendants being members of the Nortenos gang and two members of the Parraz family belonging to the rival Surenos gang.","The violence has caused the death of six people, including a baby, and has caused fear and distress in the community.","Goshen, California",Unknown
16826,No,,,,,
21184,No,,,,,
8934,No,,,,,
3717,No,,,,,
17005,Yes,Sanitation Crisis,"Residents of Clifton Block 4 in Karachi have been forced to put up with a completely choked sewerage due to the indifference and negligence of the relevant authorities. Despite daily follow-ups with the District Municipal Corporation (DMC) South, nothing has even started to move forward. The area is stinking, puddles of stagnant water continue to be a breeding ground of mosquitoes and flies, and constant overflow of water continues to damage the roads.","The negligence of the relevant authorities has caused a sanitation crisis in the area, leading to health and safety risks for the residents.",Karachi,Unknown
9180,No,,,,,
25448,No,,,,,
5943,Yes,Indigenous Rights,"In May 2021, the Tk’emlups te Secwepemc announced that ground-penetrating radar had revealed the possible remains of as many as 215 children around the former Kamloops Indian Residential School in British Columbia’s Interior. Since then, many other First Nations have also searched school sites in their territories.",This is a humanitarian crisis because the discovery of the remains of 215 children is a tragedy that has caused immense grief and pain for Indigenous communities and has highlighted the systemic racism and oppression that Indigenous people have faced in Canada for centuries.,"British Columbia, Saskatchewan",Indigenous communities across Canada
6646,No,,,,,
5735,No,,,,,
2223,Yes,Winter Storm,"A huge storm is expected to bring heavy snow and high winds to 22 states this week, with the axis of heavy snow expanding to Wyoming, Montana, South Dakota, Iowa and Minnesota. Near Minneapolis, the NWS reported that wind gusts could reach up to 80 mph.","The storm is expected to cause widespread disruption and potentially dangerous conditions, putting people in danger and potentially leading to loss of life.","California, Wyoming, Montana, South Dakota, Iowa, Minnesota",Unknown
24783,No,,,,,
29492,No,,,,,
23104,No,,,,,
20632,No,,,,,
7866,No,,,,,
12682,No,,,,,
7232,No,,,,,
185,No,,,,,
29145,No,,,,,
2468,Yes,War,"On February 24, 2022, a candlelight vigil was held in Langley City to mark the one-year anniversary of the Russian Invasion of Ukraine. The Ukrainian Canadian Congress called the invasion an “unprovoked and ferocious war” and “an evil unseen in Europe” since the Second World War.","The invasion has caused 18,955 civilian casualties as of February 2021.","Ukraine, Langley City, Canada","18,955"
23122,No,,,,,
26590,Yes,Job Loss,"British Steel is considering closing coke ovens at its site in Scunthorpe, which would be devastating news for the people of Scunthorpe and all British Steel workers across the UK.",The closure of the coke ovens would result in job loss and economic hardship for the people of Scunthorpe and all British Steel workers across the UK.,Scunthorpe,All British Steel workers across the UK
25558,No,,,,,
17654,No,,,,,
12126,No,,,,,
24555,No,,,,,
16721,Yes,Earthquake Disaster,"The Turkish Ambassador Dr Mehmet Paçaci expressed gratitude to the leadership and people of Pakistan for extending humanitarian assistance in the aftermath of a massive earthquake in Turkey. The earthquake affected more than 13 million people across 11 provinces, including Syria and Lebanon. 102 countries offered assistance and nearly 5,000 personnel from 59 countries were on the ground for search and rescue operations. The Government of Pakistan and its people were among the very first responders.",The earthquake caused massive damage and affected a large number of people.,"Turkey, Syria, Lebanon",13 million
16837,Yes,Child Abuse,"Montana State Rep. Jonathan Windy Boy is leading the charge for Montana to pass a state version of the Indian Child Welfare Act, before the U.S. Supreme Court strikes down as unconstitutional the federal version of that law. The law gives tribal governments a say over where children with Indian blood are placed if there's ever a custody dispute, but it has meant that tribal governments can block a child's placement for foster care or adoption with a non-Indian family, even if no Indian family is available. This has resulted in higher levels of maltreatment before children can be removed from abusive homes and longer stays in foster care.",The law has resulted in higher levels of maltreatment before children can be removed from abusive homes and longer stays in foster care.,Montana,
20297,No,,,,,
29095,Yes,COVID-19,"A new analysis shows how convalescent plasma can be used as an effective and low-cost treatment both during the COVID-19 pandemic and in the inevitable pandemics of the future. The study concluded that among outpatients with COVID-19, antibodies to SARS-CoV-2 given early and in high dose reduced the risk of hospitalization.","The COVID-19 pandemic has caused economic disruptions and hospitalizations across the globe, with effective therapies remaining unavailable in much of the world.","China, India, World",Millions
26004,No,,,,,
26954,No,,,,,
7049,No,,,,,
3492,No,,,,,
23351,No,,,,,
25917,No,,,,,
27182,No,,,,,
20446,No,,,,,
21046,No,,,,,
22928,No,,,,,
22607,No,,,,,
28617,No,,,,,
28808,No,,,,,
19625,No,,,,,
20467,No,,,,,
4782,No,,,,,
2124,No,,,,,
18158,No,,,,,
26049,Yes,Civil War,Cameroon's military has killed scores of armed separatists in clashes this month and at least 15 have surrendered. Separatists have killed scores of government troops and seven bodies were found in bushes following heavy fighting. Thousands of people are unable to leave their homes due to the fighting. At least 15 rebel fighters and 30 government troops have been killed.,The fighting has caused thousands of people to be unable to leave their homes and has resulted in the death of many people.,"Cameroon's Northwest region, Ndop district, Ngoketunjia",Thousands
12530,No,,,,,
11355,No,,,,,
23253,Yes,Gender Identity,"Dr. Riittakerttu Kaltiala, Finland's top pediatric gender doctor, gave an interview to a leading newspaper in which she explained that most kids will adjust to their bodies, unless they are socially transitioned. Evidence from 12 studies to date demonstrates that when children with cross-gender or gender variant behavior are left to develop naturally, the vast majority come to terms with their bodies and learn to accept their sex. When they are socially transitioned, virtually none do.",The lack of social acceptance of gender variant behavior is causing a crisis for children who are not able to accept their bodies and learn to accept their sex.,Finland,Vast Majority
